Airline,Source,Destination,Additional_Info,Price,Stop_No,Duration_Min,D_Month,D_Day,D_Hour,D_Minutes,A_Hour,A_Minutes,A_Month,A_Day
3,0,5,6,3897,0,170,3,24,22,20,1,10,3,22
1,3,0,6,7662,2,445,5,1,5,50,13,15,0,0
4,2,1,6,13882,2,1140,6,9,9,25,4,25,6,10
3,3,0,6,6218,1,325,5,12,18,5,23,30,0,0
3,0,5,6,13302,1,285,3,1,16,50,21,35,0,0
8,3,0,6,3873,0,145,6,24,9,0,11,25,0,0
4,0,5,5,11087,0,930,3,12,18,55,10,25,3,13
4,0,5,6,22270,1,1265,3,1,8,0,5,5,3,2
4,0,5,5,11087,1,1530,3,12,8,55,10,25,3,13
6,2,1,6,8625,1,470,5,27,11,25,19,15,0,0
1,2,1,6,8907,1,795,6,1,9,45,23,0,0,0
3,3,0,6,4174,0,155,4,18,20,20,22,55,0,0
1,1,4,6,4667,0,135,6,24,11,40,13,55,0,0
4,3,0,5,9663,1,730,5,9,21,10,9,20,5,10
3,3,0,6,4804,0,155,4,24,17,15,19,50,0,0
1,2,1,6,14011,2,1595,3,3,16,40,19,15,3,4
8,2,1,6,5830,1,270,4,15,8,45,13,15,0,0
4,2,1,5,10262,1,1355,6,12,14,0,12,35,6,13
1,2,1,6,13381,2,1380,6,12,20,15,19,15,6,13
4,2,1,5,12898,1,1235,5,27,16,0,12,35,5,28
2,2,1,6,19495,1,310,3,6,14,10,19,20,0,0
1,0,5,6,6955,1,920,3,21,22,0,13,20,3,19
3,0,2,6,3943,0,170,4,3,4,0,6,50,0,0
3,0,2,6,4823,0,175,5,1,18,55,21,50,0,0
4,3,0,5,7757,1,800,5,6,18,55,8,15,5,7
4,2,1,6,13292,2,910,6,9,21,25,12,35,6,10
3,2,1,6,8238,1,345,6,1,21,50,3,35,6,2
2,2,1,6,7682,1,355,5,15,7,0,12,55,0,0
10,0,2,6,4668,0,170,6,18,9,45,12,35,0,0
10,1,4,6,3687,0,135,6,15,7,5,9,20,0,0
10,1,4,6,3687,0,135,6,18,7,5,9,20,0,0
1,3,0,6,13227,2,805,5,1,9,50,23,15,0,0
3,0,2,6,4423,0,170,4,6,4,0,6,50,0,0
4,2,1,5,10919,2,1320,6,15,14,35,12,35,6,16
4,2,1,5,12373,1,330,5,18,7,5,12,35,0,0
3,2,1,6,5894,1,625,6,27,10,35,21,0,0,0
8,3,0,6,4649,1,315,5,21,15,5,20,20,0,0
1,3,0,6,6245,0,150,5,18,14,15,16,45,0,0
4,0,5,6,19225,1,375,3,6,7,0,13,15,0,0
4,2,1,6,14924,1,715,6,3,7,5,19,0,0,0
6,2,1,6,9646,1,665,5,21,7,5,18,10,0,0
1,0,5,6,8714,1,510,3,15,6,45,15,15,0,0
4,2,1,5,12373,1,1325,5,18,20,55,19,0,5,19
0,0,2,6,3383,0,165,5,6,11,10,13,55,0,0
6,2,1,6,13062,1,720,3,21,9,0,21,0,0,0
8,0,5,7,3527,0,170,3,24,5,45,8,35,0,0
3,0,2,6,3943,0,170,5,27,4,0,6,50,0,0
1,1,4,6,4667,0,135,5,3,11,40,13,55,0,0
1,3,0,6,6117,1,965,5,15,19,0,11,5,5,16
4,2,1,5,11150,2,1195,6,27,23,5,19,0,6,28
4,2,1,5,7202,0,195,3,9,11,0,14,15,0,0
4,3,0,6,12121,1,1520,5,1,9,35,10,55,5,2
3,0,5,6,4377,0,170,3,24,22,20,1,10,3,28
3,0,2,6,3943,0,180,6,18,21,15,0,15,6,19
0,0,2,6,4483,0,170,4,3,23,55,2,45,4,4
4,3,0,6,14231,1,975,3,24,19,45,12,0,3,25
1,0,5,6,17345,2,905,3,1,8,50,23,55,0,0
10,1,4,6,7414,0,135,3,6,7,5,9,20,0,0
6,2,1,6,8073,1,390,5,6,19,0,1,30,5,7
10,4,3,6,12395,1,1505,3,6,15,40,16,45,3,7
1,3,0,6,8366,1,745,6,6,9,25,21,50,0,0
1,2,1,6,5117,1,1640,4,3,6,5,9,25,4,4
